Ethylene_Resource,Zone,tonne_ethylene_p_tonne_ethane,tonnes_h2_p_tonne_ethane,mwh_p_tonne_ethane,Inv_Cost_p_tonne_ethane_p_hr_yr,Fixed_OM_cost_p_tonne_ethane_p_hr_yr,Var_OM_cost_p_tonne_ethane_p_hr_yr,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr,tonne_co2_p_tonne_ethane,mmbtu_ng_p_tonne_ethane,ng_cost_p_mmbtu_ng
CSC_Plant,1,0.902272727,0.069961557,0.334090909,219430.6595,214160.0335,8.52E+00,0,0,-1,1.840916552,12.04001654,1.55
CSC_CCS_Plant,1,0.902272727,0.069961557,0.334090909,339064.8574,269595.0007,9.52E+00,0,0,-1,1.840916552,12.04001654,1.55
CSC_Plant,2,0.902272727,0.069961557,0.334090909,219430.6595,214160.0335,8.52E+00,0,0,-1,1.840916552,12.04001654,1.55
CSC_CCS_Plant,2,0.902272727,0.069961557,0.334090909,339064.8574,269595.0007,9.52E+00,0,0,-1,1.840916552,12.04001654,1.55
CSC_Plant,3,0.902272727,0.069961557,0.334090909,219430.6595,214160.0335,8.52E+00,0,0,-1,1.840916552,12.04001654,1.55
CSC_CCS_Plant,3,0.902272727,0.069961557,0.334090909,339064.8574,269595.0007,9.52E+00,0,0,-1,1.840916552,12.04001654,1.55
