Ethylene_Resource,Zone,tonne_ethylene_p_tonne_ethane,tonnes_h2_p_tonne_ethane,mwh_p_tonne_ethane,Inv_Cost_p_tonne_ethane_p_hr_yr,Fixed_OM_cost_p_tonne_ethane_p_hr_yr,Var_OM_cost_p_tonne_ethane_p_hr_yr,CCS_Rate,MinCapacity_tonne_p_hr,MaxCapacity_tonne_p_hr,tonne_co2_p_tonne_ethane,mmbtu_ng_p_tonne_ethane,ng_cost_p_mmbtu_ng
SE_TSC,1,0.700414025,0,0,1307449.783,715583.8506,22.10854718,0,0,-1,0,1.021074737,0
SE_TSC+CC90,1,0.700414025,0,0.106218627,1409683.489,771567.3483,23.83728568,0,0,-1,0,1.021074737,0
SE_TSC: H2,1,0.700414025,0.055458117,0,1307449.783,715583.8506,22.10854718,0,0,-1,0,5.929539372,0
SE_TSC+CC90: H2,1,0.700414025,0.055458117,0.123837437,1410023.848,771749.3508,23.84304099,0,0,-1,0,5.929539372,0
SE_ESC,1,0.700414025,0.055458117,2.524339044,1732165.074,948035.9193,29.29034359,0,0,-1,0,0,0
MIDAT_TSC,2,0.700414025,0,0,1307449.783,715583.8506,22.10854718,0,0,-1,0,1.021074737,0
MIDAT_TSC+CC90,2,0.700414025,0,0.106218627,1409683.489,771567.3483,23.83728568,0,0,-1,0,1.021074737,0
MIDAT_TSC: H2,2,0.700414025,0.055458117,0,1307449.783,715583.8506,22.10854718,0,0,-1,0,5.929539372,0
MIDAT_TSC+CC90: H2,2,0.700414025,0.055458117,0.123837437,1410023.848,771749.3508,23.84304099,0,0,-1,0,5.929539372,0
MIDAT_ESC,2,0.700414025,0.055458117,2.524339044,1732165.074,948035.9193,29.29034359,0,0,-1,0,0,0
NE_TSC,3,0.700414025,0,0,1307449.783,715583.8506,22.10854718,0,0,-1,0,1.021074737,0
NE_TSC+CC90,3,0.700414025,0,0.106218627,1409683.489,771567.3483,23.83728568,0,0,-1,0,1.021074737,0
NE_TSC: H2,3,0.700414025,0.055458117,0,1307449.783,715583.8506,22.10854718,0,0,-1,0,5.929539372,0
NE_TSC+CC90: H2,3,0.700414025,0.055458117,0.123837437,1410023.848,771749.3508,23.84304099,0,0,-1,0,5.929539372,0
NE_ESC,3,0.700414025,0.055458117,2.524339044,1732165.074,948035.9193,29.29034359,0,0,-1,0,0,0
