Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
t1,0.0,0.0,0.02181379318181898,53.99650218674701,0.004083714485869821,15.95883509380418,0.0044021870429931985,0.04351319348195777,1.9998478940113154,15.999824871091969,0.0,0.0,0.0,0.0,0.0,0.011889462783031822,18.993400009186868,0.006833980929709732,0.022740080202178384,0.010434358219225464,2.999829976431943,1.999819174596059,0.0,0.0,0.0,0.0,0.0,51.99888735761972,24.997357656866654,59.99915462884666,0.0027044158054859795,0.006622186400853381,0.046459424664632286,31.999862679164504,1.9998821231584516,0.0,0.0,0.0027701401137106355,0.009618017175527516,0.004379500843752217,0.0,0.002079253134794162,0.001666108997071722,79.63710748298344,0.0037913696906803104,0.0,0.003075265985014827,0.0013060303169530225,0.0091000276473372,0.0032473941979060997,0.0,0.003477111926908184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.021294475547012442,53.996376995124656,0.003966847866789369,15.958709768294073,0.004250613985934828,0.04208030712420534,1.9998441865222563,15.999820400411902,0.0,0.0,0.0,0.0,0.0,0.011423908634132156,18.993201651777078,0.006633113249242464,0.021816216609742565,0.010032268093295991,2.999825928278105,1.999814886445489,0.0,0.0,0.0,0.0,0.0,51.998852070171274,24.99726213353838,59.99913208723843,0.002666460456479925,0.0065101642090948045,0.04585676939069039,31.99986094902529,1.999880844947245,0.0,0.0,0.002762260721328078,0.009609373002631242,0.0043326659077977435,0.0,0.002077520914450636,0.0016357472881804603,79.63703445400338,0.003668953530757246,0.0,0.003069546988473199,0.0012797434941228024,0.009023294153934564,0.0031284105269063682,0.0,0.0034720053772734354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.020521230344777007,53.9961718662793,0.0038183992607459774,15.958504666131981,0.004043983859591217,0.04015093531863431,1.9998398652213307,15.999815163290123,0.0,0.0,0.0,0.0,0.0,0.010682816477645428,18.992826944578646,0.006360723383750424,0.020483531205454493,0.009444989680427587,2.999820909213414,1.9998095779443403,0.0,0.0,0.0,0.0,0.0,51.99878877698433,24.997084376426574,59.999087549538,0.002599782176239942,0.006341083090417183,0.044963214919561685,31.999859014989067,1.999879376716982,0.0,0.0,0.0027465834238109468,0.009592304921637325,0.004280773563461648,0.0,0.0020755028762065703,0.0015861626209010009,79.63690730017112,0.0035328855432045516,0.0,0.0030630187950257794,0.001235945637815268,0.008887640729798776,0.002984274496150724,0.0,0.0034660214949065343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.019308533383933648,53.995786197911976,0.0036296564790521766,15.958126687909976,0.003758163105593612,0.03750488747310321,1.9998347217917403,15.999808926478469,0.0,0.0,0.0,0.0,0.0,0.009338868757745852,18.99173380747139,0.005995473748826834,0.01847075596015353,0.008524341914667603,2.999814477140011,1.9998027843192843,0.0,0.0,0.0,0.0,0.0,51.99868107708726,24.996776832063656,59.999007478831864,0.002496363937562417,0.006100621601341498,0.043716638566203385,31.99985678550679,1.999877670340552,0.0,0.0,0.0027178826087820183,0.009558761837459758,0.004189323602792553,0.0,0.0020731850231463936,0.0015068195836475146,79.63667774189452,0.0033328181909639183,0.0,0.003055517969572806,0.0011617124781948289,0.008602885465113033,0.0027514510438469866,0.0,0.0034590105527214704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.017048789233429902,53.99446358936773,0.003383820771377587,15.957009896039567,0.003339327732381928,0.033608977601265744,1.9998284360707999,15.999801215834697,0.0,0.0,0.0,0.0,0.0,0.0040285526021544595,0.0016695683902975397,0.005487747068849836,0.014694596032305468,0.006596289367335322,2.9998061627502994,1.9997940254321396,0.0,0.0,0.0,0.0,0.0,51.99847842764697,24.996194736695088,59.998850210109474,0.002336964855511179,0.005761455103395393,0.04199822899268276,31.999854228110635,1.999875686856005,0.0,0.0,0.002667416267937178,0.009491406227978257,0.004055185997650395,0.0,0.002070507311289058,0.0013751253259282016,79.636145902054,0.0030510135342852692,0.0,0.0030467922586553077,0.0010123989845037462,0.0019832487218227938,0.00234308807932371,0.0,0.003451088881214991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.006037783810510017,0.0017542023985876402,0.003039748479221006,0.0014732313236950289,0.002603588773076943,0.026330372078228803,1.9998208121524665,15.999791668410058,0.0,0.0,0.0,0.0,0.0,0.0033601899193472697,0.0013680220292103691,0.0051723255662039684,0.01303320961426354,0.005815643924190912,2.9997990962965306,1.999786566417351,0.0,0.0,0.0,0.0,0.0,51.9978504039236,24.9944264670229,59.99837702305436,0.002068535819846517,0.005262650738751097,0.03957526363373285,31.999851236779996,1.99987336057201,0.0,0.0,0.002574771809219042,0.009322634436147684,0.003888933489302129,0.0,0.0020673759405437646,0.0011025042089567363,0.002358051055248792,0.0026494269701445344,0.0,0.003037196028986609,0.0009308663919215547,0.001604368642439549,0.00213442662968245,0.0,0.0034438796409391207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.00503269633348357,0.001377293210255389,0.0028219287391300016,0.0011934555836968814,0.0022850469616753364,0.023201435514670316,1.9998142792198021,15.999783955564977,0.0,0.0,0.0,0.0,0.0,0.0030253489939698346,0.00122167474877571,0.004963294510495108,0.012047157568592147,0.005348715063746424,2.9997930854476396,1.9997801648516846,0.0,0.0,0.0,0.0,0.0,9.68342932938815,0.011694762912640981,34.683781084278486,0.0013941773227207218,0.004395085524971286,0.035827973337073965,31.99984947473538,1.9998706591955953,0.0,0.0,0.0023554006568451595,0.006347831884842663,0.003605174688380952,0.0,0.002063683594381862,0.0009815910584902157,0.001865025129039461,0.0023966199820124362,0.0,0.003028204660235733,0.0008791102928419005,0.0014191366967031922,0.0019797166088038032,0.0,0.0034373537949494264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0045353249014279656,0.0012135125656751744,0.002668393701107683,0.0010616049497399298,0.0021059396312631934,0.021333489079761042,1.9998086529504802,15.999777017684247,0.0,0.0,0.0,0.0,0.0,0.0028208405005523372,0.0011314784745180884,0.004821964934647075,0.01140860699232709,0.0050374511706873844,2.999787849435557,1.9997746232566702,0.0,0.0,0.0,0.0,0.0,0.004407459273546883,0.007126546481658962,0.002462957548006502,0.0011946469242506605,0.003933502077026926,0.03327634607514533,31.999845753774345,1.999867930901084,0.0,0.0,0.002220717417816688,0.005595584344970771,0.00340033055138302,0.0,0.002059999339482066,0.0009112725104044637,0.00163927265139138,0.002217837374394133,0.0,0.0030198585184772722,0.0008456658198113122,0.0013093153286014227,0.0018649202232442468,0.0,0.0034314912272443514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.004226298500864479,0.0011145077768747878,0.0025550529667013786,0.0009802969143535949,0.0019971889054043505,0.020100285024528278,1.999803768097665,15.99977101889209,0.0,0.0,0.0,0.0,0.0,0.0026872904925294445,0.0010708071590005868,0.004726529317587373,0.010980788018741031,0.0048204990826436886,2.9997832754684683,1.9997697774504755,0.0,0.0,0.0,0.0,0.0,0.0037939645500823507,0.006141650539171508,0.0020771753484453135,0.001086679405717643,0.00363526831624371,0.031390513604176815,31.99984206566465,1.9998652204865794,0.0,0.0,0.002127739935858837,0.005163302785606622,0.0032649320461223675,0.0,0.002056321236844488,0.000867545305785912,0.0015058966399158435,0.0021061211433351726,0.0,0.003012130927933096,0.0008244889219770463,0.0012421305222931056,0.0017979158891290325,0.0,0.0034262415666057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
