Zone,1,2,3,Total
CO2_Price_1,122.92849045010449,122.92849045010449,122.92849045010449,0.0
AnnualSum,7.731560493210909e7,1.308528781952104e8,2.6257495026125643e7,2.3442597815344512e8
t1,27808.439862347914,30670.065633416085,3417.727704504675,61896.23320026867
t2,27808.393537409054,30669.95420749835,3417.6322132217447,61895.97995812915
t3,27808.291992680934,30669.758306527052,3417.448936300552,61895.499235508534
t4,27808.20481162956,30669.466433995767,2187.928583830024,60665.59982945536
t5,27807.98563686161,25174.702938163133,0.7861672245951024,52983.47474224934
t6,24404.986697323748,1.0440333937648132,0.6846901030971932,24406.715420820612
t7,6608.407695940558,0.895615146801528,0.6355496169624276,6609.938860704323
t8,2.2253469680519697,0.8233130953982184,0.6030167185765054,3.6516767820266933
t9,1.9975407093025623,0.7761999336376394,0.5796145370276473,3.353355179967849
t10,1.8757593630920892,0.7485250388276982,0.5675404486614201,3.1918248505812077
t11,1.7896002855718383,0.7270421460792532,0.5572283814502066,3.0738708131012977
t12,1.7229659378444864,0.7095148285209367,0.5480585140447648,2.980539280410188
t13,1.6832095538492797,0.7012292052559883,0.5460969120137719,2.93053567111904
t14,1.6486004347573147,0.6928983987346844,0.5426555746727434,2.8841544081647426
t15,1.6188282818414084,0.6845653193304382,0.538073488702663,2.8414670898745094
t16,1.607508687973177,0.6831097294024582,0.5394771626595226,2.8300955800351577
t17,1.6043656017785821,0.679788221985634,0.5389222315498327,2.823076055314049
t18,1.676032241020812,0.6751480915085647,0.5370155186978729,2.8881958512272496
t19,1.6696362415576727,0.6764465912759511,0.539600604820487,2.885683437654111
t20,1.6575637988957936,0.6750711077116802,0.5391523819455927,2.8717872885530666
t21,1.6368057294947271,0.6714730329034817,0.5366017447594053,2.8448805071576144
t22,1.626804145780943,0.6735721040820362,0.5392683349368355,2.8396445847998146
t23,1.6051254776766166,0.6728212120608499,0.538899436494844,2.8168461262323103
t24,1.572732901326958,0.6700470181264304,0.5363720540898336,2.779151973543222
t25,1.5493259678181797,0.6728895301924908,0.5390377661919429,2.761253264202613
t26,1.51031693202208,0.6727454902164273,0.5386199978862396,2.721682420124747
t27,1.4556366843037187,0.6705357127654031,0.5360032608586276,2.6621756579277496
t28,1.4031965859525863,0.6739730068952313,0.5385121861791449,2.6156817790269624
t29,1.324684185628735,0.6744845056797154,0.5370811764158089,2.5362498677242593
t30,1.2001196569527417,0.6730045741658003,0.5346447876518935,2.4077690187704355
t31,0.8840140073020808,0.6774360495189862,0.5375635567957688,2.099013613616836
t32,0.8140866341483347,0.6794655169069038,0.5383789887852387,2.031931139840477
t33,0.7703145139241068,0.6801629084148653,0.5378673731944873,1.9883447955334592
t34,0.7456815734133988,0.6873482116515782,0.5433205497887345,1.9763503348537115
t35,0.7275912015263624,0.6929739774341543,0.5472309245356229,1.9677961034961395
t36,0.7136979974331362,0.6985515308769198,0.5509604293710515,1.9632099576811075
t37,0.7098478089915942,0.7123145874596745,0.5621665637459428,1.9843289601972114
t38,0.7070182390150188,0.7270862997454206,0.5739881212514428,2.008092660011882
t39,0.7052233258868241,0.7455049644086771,0.5886102768307393,2.0393385671262405
t40,0.714848939030444,0.777264147883331,0.616452998211148,2.108566085124923
t41,0.7215044637778106,0.8195119313129232,0.6558438878205595,2.1968602829112935
t42,0.7368092032150316,0.9171688388485213,0.7729705947684081,2.4269486368319613
t43,0.7522196618216348,1.0466254813107505,0.8136651807139667,2.612510323846352
t44,0.8248378043809445,1.0876092467162533,0.8389825872227926,2.7514296383199905
t45,0.7463029528751702,1.1129631760156646,0.8541847169731878,2.7134508458640223
t46,0.7422151650743278,1.1429212118885812,0.8758389438138008,2.76097532077671
t47,0.737116475917844,1.1611498769675452,0.8880428615089488,2.786309214394338
t48,0.7304154932248293,1.169974141846549,0.8928391220469477,2.793228757118326
t49,0.7300244046786443,1.1858810822497914,0.9059361214828677,2.8218416084113036
t50,0.7265735562149963,1.1920380156488597,0.911255559680347,2.829867131544203
t51,0.7207115224103512,1.1900508861950778,0.9104333874500921,2.8211957960555214
t52,0.7205668694313302,1.1957312523162775,0.9185697098310766,2.834867831578684
t53,0.7165145674963114,1.1912385459712842,0.9173986561151215,2.825151769582717
t54,0.7088194671702999,1.1495699449211607,0.8956835803316481,2.754072992423109
t55,0.6992783210851176,1.1490860196230333,0.9043592750532421,2.7527236157613926
t56,0.6962598546857537,1.1448325576605705,0.9116102194723973,2.7527026318187215
t57,0.6931011659845531,1.137364060507155,0.9188280396681623,2.749293266159871
t58,0.6976847097848415,1.138081245491,0.9388626843401671,2.774628639616009
