Zone,1,2,3
AnnualMean,51.703755681498315,54.26802391169284,58.10764593501519
t1,105.26084614013939,83.48416949353245,97.04368645859279
t2,105.26084389214046,83.48416622986159,97.04367554449053
t3,105.26084195254776,83.48416229886581,97.04366172057587
t4,105.26083945010367,83.48415641962492,97.04358391487652
t5,105.26083456228547,83.48410862997397,0.0050338184194321095
t6,105.26077555386657,9.823160025501804e-5,8.344705976364648e-5
t7,50.18273498591605,4.4312932747131274e-5,2.7044572624562626e-5
t8,50.182713849757356,2.230554758835415e-5,1.2468665395181369e-5
t9,50.18267991893515,2.0493749588380145e-5,9.370305177831582e-6
t10,50.18266486079221,2.6794479879047284e-5,9.323153670985544e-6
t11,50.182645425584866,3.14024543764007e-5,1.1581635269785225e-5
t12,50.18267052488691,3.2943441987139474e-5,1.482103333258756e-5
t13,51.11820697962739,3.488973318615998e-5,2.8832184160322515e-5
t14,52.7244607836718,4.319535966268343e-5,5.149736679806254e-5
t15,53.803367896943556,6.0686391234756575e-5,6.096905906791067e-5
t16,54.590912692284256,7.656835197555777e-5,7.66196428507165e-5
t17,55.07036719957816,9.249346435866084e-5,9.937139796308274e-5
t18,64.60648997562554,0.00014036967329787128,0.0001387160480937105
t19,63.11302154410687,0.00018147469603947518,0.00016788569123731917
t20,61.01355822533217,0.00019586753263121305,0.000171235342976101
t21,59.28965362255971,0.00019052936626800032,0.00017380479463457963
t22,59.289643716537064,0.00017757994528744075,0.00016808816365862647
t23,59.2896369962098,0.00016810453387741025,0.00016434038056844624
t24,59.289632395890905,0.00016296592106721688,0.000158594500309423
t25,59.28962933480104,0.00016019774297985778,0.00015297560622690133
t26,59.28962729704257,0.00015843450968943667,0.00014977064907499923
t27,59.28962513268658,0.00015701543594589734,0.00014699343787694281
t28,59.28962220771556,0.0001554378514915303,0.00014297213343195296
t29,59.289616031463375,0.00014757923323439835,9.446515956252965e-5
t30,59.28833762950137,9.351139169070821e-5,4.7478585497580535e-5
t31,0.00013867563076592454,5.6445572744649816e-5,2.5603244344575195e-5
t32,9.883491990277922e-5,2.2604872238345237e-5,2.2837108344072637e-5
t33,3.689813666698032e-5,1.5143071738497613e-5,2.2866712118456733e-5
t34,2.7965966445812705e-5,1.4368277460474669e-5,1.9955055470513905e-5
t35,3.4128554741385595e-5,1.836842355678666e-5,2.125611993084806e-5
t36,4.943791867777627e-5,2.3286208349990466e-5,2.5638126835165198e-5
t37,6.970468836765298e-5,3.2158555494950913e-5,3.222071024155086e-5
t38,0.00010659796764067822,4.367934900414749e-5,4.726112094754755e-5
