Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7,Total
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,0
AnnualSum,0.0,0.0,1672.0944645945726,5631.7316969183275,9.389707626181645,2553.3219941697844,2135.9194061928124,2466.530706981934,0.019949299115919437,0.02411967111429484,0.0,0.0,0.0,0.0,0.0,5005.370473044758,3493.8375671720564,4.583834177282669,29.438079292290677,1515.7656865492308,0.02094856484287091,0.022323866613878494,0.0,0.0,0.0,0.0,0.0,6623.282889598949,4292.2116646474915,10554.78229117794,0.8932188157712174,2.604462589215656,15.036933205909726,0.029277288960667024,0.023710381644045597,0.0,0.0,0.9837893373232711,2.028672701022992,1.7217946314270778,0.0,0.04766252813880265,0.8496241342722739,11712.59700629777,1.7933001562605844,0.0,0.04600494574034195,0.7673173285069305,2.019201237800879,1.679843182986738,0.0,0.03634727043582616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57731.50596957848
t1,0.0,0.0,0.0006675276725796614,0.0001447016447067836,0.00022769052202763974,0.00014509614217221104,0.00037268261754161777,0.002772756484636589,4.561113457346942e-6,5.488697332802227e-6,0.0,0.0,0.0,0.0,0.0,0.0005545365535686339,0.00019633824256089612,0.0006081451666342486,0.0017639017883160789,0.0006702095695240199,4.842550132709679e-6,5.144767993238365e-6,0.0,0.0,0.0,0.0,0.0,8.529053283862292e-5,0.00024483043579733157,5.674306234832719e-5,0.00010127816637904815,0.00030254211674392653,0.0016720524128316944,3.275324321161993e-6,2.6114854458915737e-6,0.0,0.0,7.52265968357381e-5,7.568264234112897e-5,0.00019015329379911007,0.0,5.177970952449473e-6,0.00010677394686870997,0.00014260563758208323,0.00023507265647299469,0.0,8.796859802185217e-6,9.136993075699247e-5,0.00012172038340960115,0.0002251896704026806,0.0,7.715514729613975e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011897732173843769
t2,0.0,0.0,0.000806571365860858,0.00018392998986301054,0.0002455920210527657,0.00018441642356294464,0.00039889252314872614,0.0030555045587652586,4.992502296859295e-6,6.0270400914659045e-6,0.0,0.0,0.0,0.0,0.0,0.0006896684800361846,0.0002689078077951393,0.0006327369724873279,0.0019777236864343176,0.0007670407142706991,5.488672217856426e-6,5.833418944673653e-6,0.0,0.0,0.0,0.0,0.0,9.888815828402211e-5,0.000284005153073675,6.698359303460446e-5,0.00011514204780417448,0.00033230075416659083,0.0018329845529225432,3.4249171597090806e-6,2.7305892154037926e-6,0.0,0.0,7.721124091244143e-5,7.798994929170102e-5,0.00020590208276849661,0.0,5.394621020138297e-6,0.00011240783935581182,0.00016693306810769472,0.00025998926927420023,0.0,9.455148151811159e-6,9.975059281758148e-5,0.0001480789307382226,0.0002552289859198263,0.0,8.108374598143904e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01339623604544488
t3,0.0,0.0,0.0010305190803058563,0.0002569260827745401,0.00026911334491930457,0.0002568091155070561,0.0004388514378299323,0.0034574192433536053,5.5827963650590555e-6,6.748110655543066e-6,0.0,0.0,0.0,0.0,0.0,0.0009347186273923903,0.0004354984876709798,0.0006688000576682482,0.002312953233110566,0.0009277806289759359,6.418340409896e-6,6.810802377173581e-6,0.0,0.0,0.0,0.0,0.0,0.00012104195886464446,0.0003476994271025779,8.440192037533455e-5,0.00013491723861534796,0.00037337621690923154,0.0020405587698566915,3.6255469983234076e-6,2.883772178801698e-6,0.0,0.0,8.329709467927687e-5,8.47431811103927e-5,0.00020962634675396625,0.0,5.6333524414009345e-6,0.00012573471150052797,0.00021207276592233724,0.0002729170260880912,0.0,1.0206700244736436e-5,0.00011190108328544297,0.00020082132859268798,0.00027756205323441885,0.0,8.906560192483578e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157268764442628
t4,0.0,0.0,0.0014443901820710373,0.0004317549126165231,0.00030155212930581634,0.00042371939573593434,0.000501315126694043,0.004079861642785293,6.3789551858673946e-6,7.735740651005617e-6,0.0,0.0,0.0,0.0,0.0,0.0015125227792277074,0.001146314981008165,0.0007261744747971876,0.0029153929480025334,0.0012343395525169752,7.789949345258531e-6,8.251554291283902e-6,0.0,0.0,0.0,0.0,0.0,0.00016027548837583777,0.0004614731122392301,0.00011603623953104708,0.00016392471329535293,0.00043017739306093673,0.0023207359059135607,3.889970977897171e-6,3.0796003724601225e-6,0.0,0.0,9.379700936724634e-5,9.85920365037406e-5,0.00023391227562758428,0.0,5.865817253379656e-6,0.0001485414148466329,0.0003055005598316024,0.0003230952608522147,0.0,1.110167461673733e-5,0.00013598538703729968,0.00034349287357805433,0.0003506656553609319,0.0,9.871239014268137e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020467507951890646
t5,0.0,0.0,0.0024688291196270674,0.0013638998769714672,0.0003509465809693999,0.0011576301598421087,0.0006150714809824059,0.005228499429790128,7.494607297211084e-6,9.179172430934355e-6,0.0,0.0,0.0,0.0,0.0,0.005452718307045524,18.990110894874622,0.0008322485539400061,0.004572788306008632,0.002204739284778219,9.634339412123047e-6,1.0176630387313839e-5,0.0,0.0,0.0,0.0,0.0,0.0002506649558435974,0.0007219907519437302,0.00019035325100821233,0.00021339834279450074,0.0005152490074065237,0.0027235512984682122,4.247949296085493e-6,3.333830869453244e-6,0.0,0.0,0.00011222098682755831,0.00012877808078172538,0.0002694594245112257,0.0,6.172908886997837e-6,0.0001935045615235629,0.0005993855338926888,0.00039865544869182906,0.0,1.224446445854926e-5,0.00020326059285397888,0.006671185449171066,0.000517102958848163,0.0,1.0738691461880886e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.028140249213642
t6,0.0,0.0,0.011195714090244146,53.99274651423456,0.00044140643112090236,15.955573371068933,0.0009075200085026001,0.008481031550836378,8.809132178925496e-6,1.0990943007791342e-5,0.0,0.0,0.0,0.0,0.0,0.00082548849706243,0.00035281157622751966,0.0006603724538384255,0.002562703770971571,0.0010917697377352956,8.417304569851846e-6,8.909865364801068e-6,0.0,0.0,0.0,0.0,0.0,0.0006718788050774635,0.001895528615921083,0.0005029195834495513,0.0003167651572799689,0.0006616063662082484,0.0033619324056859646,4.732338959456967e-6,3.6475408203006714e-6,0.0,0.0,0.00015024758793554208,0.00022531438391761412,0.0002983523588065691,0.0,6.553890583029449e-6,0.00032675304084327586,79.63384720800654,0.0005151073202269372,0.0,1.3062045957381965e-5,0.00014214473230723034,0.00044118232757066984,0.00033304173068402453,0.0,1.009706946330305e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.6186039059734
t7,0.0,0.0,0.0012091582329897563,0.00041757726919022326,0.00032167294488200354,0.0003198271022931358,0.0005128987167355134,0.004472010814413032,7.744432594975418e-6,9.584475646845827e-6,0.0,0.0,0.0,0.0,0.0,0.0005042360008849913,0.0002013219553740025,0.0005696929693736925,0.001972020117879929,0.000807421345620977,7.4373351308518425e-6,7.88610182788109e-6,0.0,0.0,0.0,0.0,0.0,42.3144600727368,24.98284320931196,25.31462142660057,0.0007166535066092527,0.001012926040902193,0.004612410001707043,5.522417745694409e-6,4.037696240629294e-6,0.0,0.0,0.00027102761752140653,0.0030241218819402507,0.00039706848030058954,0.0,7.037854141397084e-6,0.00018205137750700663,0.0005633265095622609,0.00036988317558953054,0.0,1.2512772012089557e-5,0.00011801255445058997,0.0002587554147728899,0.0002817251820336226,0.0,9.4862314688005e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.63511175717869
t8,0.0,0.0,0.000718523275266883,0.00020760824197711906,0.0002625358726621958,0.00017474966467349393,0.0003932814881488927,0.003328560810965314,6.8660164026175285e-6,8.45189020583558e-6,0.0,0.0,0.0,0.0,0.0,0.00038445796740070495,0.00014851808605136765,0.0005136885354424321,0.001694461109152294,0.0006771482321073833,6.6509898165879635e-6,7.061321489081756e-6,0.0,0.0,0.0,0.0,0.0,9.679065655601258,0.004692941667963236,34.681346861477465,0.0002454733828920847,0.0006209663377416918,0.0034806437625749128,5.413256153316729e-6,4.033050406230774e-6,0.0,0.0,0.0001947154139212521,0.000811464102938978,0.0003278375110880382,0.0,7.0588768699135845e-6,0.0001378248625391202,0.00030692009540269266,0.0003055168252592457,0.0,1.1928609378924056e-5,0.00010469693474679886,0.0001952794989404002,0.0002513790661283828,0.0,8.90337261895497e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38065807720805
