,Power Emissions,HSC Emissions,CSC Emissions,Biorefinery Emissions,Bioresource Emissions,Biomass Capture,Conventional NG,Syn NG Plant Emissions,Syn NG,Bio NG,Conventional Liquid Fuels,Synfuel Plant Emissions,Synfuels,Biofuels,Ethylene Emissions,Total
t15,2.8414670898745107,0.3799270685904665,-0.11770797755071917,16843.866615683113,0.0,-77305.54449998875,0.07024232991620466,0.09379209524211826,0.019153252183836844,12295.499591145284,3317.248838820483,7230.865593151268,6489.587237088106,4187.566866972034,179.18080610559792,-26758.442077164615
t16,2.8300955800351586,0.3799290541856923,-0.11739154397664228,16843.8662806172,0.0,-77305.54304115531,0.07049480305049008,0.09410473691167345,0.019171080976165107,12295.499315052011,3317.25413513433,7230.864210769235,6489.585148598118,4187.566877311037,179.18082719306952,-26758.44984276913
t17,2.8230760553140497,0.37994892412418013,-0.11697624969762728,16843.865739034536,0.0,-77305.54237590038,0.07121950686420234,0.09489691339851578,0.019257192676270574,12295.498485452572,3317.2616072660317,7230.862955802367,6489.582668152262,4187.566896652181,179.18084403338915,-26758.451757164356
t18,2.88819585122725,0.3799426026258263,-0.11621117928254307,16843.8674081527,0.0,-77305.55160184685,0.07067234210456716,0.09372884122613324,0.019110453057505403,12295.49931919682,3317.2536071267477,7230.8650335765215,6489.585883974617,4187.567035381657,179.18095625676764,-26758.396919270057
t19,2.88568343765411,0.3799225466766919,-0.11703297219901031,16843.868883701754,0.0,-77305.55670404964,0.06951985718142845,0.09171677714807507,0.018824279150540975,12295.500773085734,3317.2436989920293,7230.867312292204,6489.589716085487,4187.567079377303,179.18093304661352,-26758.409673542898
t20,2.871787288553066,0.37992129647129647,-0.11760058053989458,16843.869587935744,0.0,-77305.55985009862,0.06914711376819693,0.09094188033285207,0.01871598671711244,12295.501281311124,3317.239265528732,7230.868135534782,6489.590959279866,4187.567122267109,179.18094019035632,-26758.429645065604
t21,2.844880507157614,0.3799245458262815,-0.11794139889447267,16843.8702461902,0.0,-77305.56270260201,0.06879747426302954,0.09010479789943573,0.01859536782671289,12295.501775694453,3317.2356386336214,7230.868813866715,6489.591991942857,4187.567157274581,179.18094801908106,-26758.461769686422
t22,2.8396445847998133,0.3799273141692526,-0.11795251317025232,16843.87012748295,0.0,-77305.5628070237,0.06901577020264449,0.09049516818285935,0.018641397954798127,12295.50150825105,3317.2377899654857,7230.868131365186,6489.590888066468,4187.567203906595,179.18094394575857,-26758.466442318073
t23,2.8168461262323095,0.3799293925399926,-0.11808088503761954,16843.870425415367,0.0,-77305.56446066691,0.06895595606159527,0.09015895356493571,0.01858735631349002,12295.501634602106,3317.236771569392,7230.8681995815705,6489.590971117649,4187.567249667535,179.1809461814243,-26758.491865632182
t24,2.7791519735432213,0.37993146536421574,-0.11812260586861709,16843.870731734598,0.0,-77305.56613330687,0.06888705561945338,0.08982958912449576,0.018533912297592058,12295.501772115927,3317.2359022557803,7230.868176568676,6489.590938570812,4187.567301064429,179.1809514218232,-26758.532148184753
t25,2.7612532642026135,0.3799337138362876,-0.11803684593146004,16843.870578170183,0.0,-77305.56624585025,0.0691622281536993,0.09031601026743699,0.01859154621303765,12295.501437866678,3317.238626410496,7230.867219185005,6489.589467208186,4187.567372461387,179.18094954896577,-26758.549375082606
t26,2.7216824201247465,0.3799352887776393,-0.11807892554881308,16843.870876048793,0.0,-77305.56810997835,0.06915297964020761,0.09007485141600842,0.018547883112868407,12295.501503738362,3317.238447164621,7230.866908274475,6489.589021584444,4187.567454064979,179.18095423909756,-26758.59163036606
t27,2.6621756579277487,0.379936156490153,-0.1180965110532496,16843.871402289562,0.0,-77305.57099194561,0.06902889398263724,0.08956503928521202,0.01846464278638728,12295.501732058456,3317.237490825182,7230.8666703309445,6489.588716783714,4187.567560041623,179.1809646391362,-26758.655381097586
t28,2.615681779026963,0.37993641002138967,-0.11797134958725498,16843.871597619218,0.0,-77305.57323912304,0.06926313576964893,0.08985456324843397,0.018487397508370352,12295.50148332006,3317.2402492327656,7230.865355988263,6489.586729285626,4187.567723293792,179.18096726684684,-26758.70388118047
t29,2.5362498677242584,0.3799384245657137,-0.11784716372828259,16843.872155417066,0.0,-77305.57798019926,0.06953967868472062,0.09000165085661917,0.018477785097515114,12295.501238929815,3317.243537330831,7230.863589535959,6489.584032001375,4187.567978182327,179.18096614962423,-26758.788122409067
t30,2.407769018770435,0.37994351881378485,-0.11810667651815049,16843.873292798882,0.0,-77305.58724028323,0.06999632129250398,0.09014910214029713,0.018449278420581333,12295.50083280326,3317.2488108263497,7230.861062611323,6489.580166497991,4187.568360928037,179.18099281390778,-26758.925520440574
t31,2.0990136136168362,0.3798092418949897,-0.12870070437719727,16843.788807028333,0.0,-77305.0248387097,0.0693476492964867,0.12240871426461876,0.025878017230040393,12295.49212552836,3317.2244414410648,7230.890840554677,6489.63094362155,4187.558790418139,179.1794895418512,-26758.691644043793
t32,2.0319311398404776,0.3798079783441161,-0.1298871630306623,16843.788603519046,0.0,-77305.02487336547,0.06965324188099323,0.12297961648936924,0.025970321393989283,12295.491716533912,3317.2271080459604,7230.890143939913,6489.62990497136,4187.558819238055,179.17947906528002,-26758.758642917026
t33,1.98834479553346,0.37980368550578647,-0.13014911628954015,16843.788592059915,0.0,-77305.02460263718,0.06961889598780648,0.1229142405923592,0.0259680881131994,12295.49175561817,3317.2261280712905,7230.890332789416,6489.630272827262,4187.558837923845,179.17947315134504,-26758.80270960649
t34,1.9763503348537108,0.3798000352181716,-0.12977788513522923,16843.787890049392,0.0,-77305.02174935443,0.07005102968243654,0.12386599809981902,0.026109346934827485,12295.491153490351,3317.231398172213,7230.88905365079,6489.628315402777,4187.558837990105,179.1794604890179,-26758.809241250132
