Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap,MaxAnnualGeneration,AnnualGeneration,CapacityFactor,AnnualEmissions
NE_small_hydroelectric_1,3,834.494,0.0,0.0,834.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31016744e6,3.457791890298156e6,0.4730113118035715,0.0
NE_solar_photovoltaic_1,3,1629.6,0.008628930587726092,0.0,1629.5913710694122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4275220410568051e7,2.7736556757252025e6,0.1942986234854801,0.0
SE_conventional_hydroelectric_1,1,11123.215,0.0,0.0,11123.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.74393634e7,1.3792290777433299e7,0.14154742289124292,0.0
SE_hydroelectric_pumped_storage_1,1,6261.984,0.0,0.0,6261.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.485497984e7,0.0,0.0,0.0
SE_natural_gas_fired_combined_cycle_1,1,26218.712,0.013967787913537982,0.0,26218.698032212087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2967579476217788e8,7.47520057785669e7,0.3254674958498359,2.920952150912918e7
SE_natural_gas_fired_combined_cycle_2,1,4637.5,0.026487545068737146,0.0,4637.473512454932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06242679691052e7,9.485850215838237e6,0.23350205899223184,3.977667410427165e6
SE_natural_gas_fired_combined_cycle_3,1,42679.32,0.00879268908808292,0.0,42679.311207310915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.738707661760436e8,1.1714715277630197e8,0.3133359528868357,4.411483773697702e7
SE_natural_gas_fired_combined_cycle_4,1,6088.5,6081.7861468126075,0.0,6.713853187392488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58813.35392155819,4210.0222146620745,0.07158276027374932,2334.4257870473357
SE_natural_gas_fired_combustion_turbine_1,1,24934.14,24925.406384773767,0.0,8.73361522623236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76506.46938179547,2548.073997399268,0.0333053402932952,1572.1900190250406
SE_natural_gas_fired_combustion_turbine_2,1,683.209,678.7380618455322,0.0,4.470938154467717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39165.4182331372,2620.526485050236,0.06690919191648137,1494.5431999517011
SE_nuclear_1,1,33632.288,0.0021850411945820484,0.0,33632.28581495881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.946188237390391e8,2.4271693269404852e8,0.8238337578492164,0.0
SE_nuclear_2,1,2228.0,0.001839099494897279,0.0,2227.998160900505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.951726388948842e7,1.6205207905178577e7,0.8303012141935712,0.0
SE_small_hydroelectric_1,1,249.895,0.0,0.0,249.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1890802e6,337833.733870007,0.15432679619047623,0.0
SE_solar_photovoltaic_1,1,8502.2,0.009893894375083995,0.0,8502.190106105625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.447918532948528e7,1.717270642828749e7,0.23057054601655336,0.0
SE_naturalgas_ccccsavgcf_conservative_0,1,0.0,0.0,1.2591543553764089,1.2591543553764089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11030.192153097341,4795.3646851889425,0.4347489707006035,182.54865069668344
SE_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,5.84398567768713,5.84398567768713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51193.31453653926,19207.15846877569,0.3751888042933139,6497.071525216621
SE_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,1.3610052896016345,1.3610052896016345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11922.406336910319,2896.4872439185237,0.24294485207666106,1497.49639379506
