Resource,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,NE_conventional_hydroelectric_1,NE_hydroelectric_pumped_storage_1,NE_natural_gas_fired_combined_cycle_1,NE_natural_gas_fired_combined_cycle_2,NE_natural_gas_fired_combined_cycle_3,NE_natural_gas_fired_combustion_turbine_1,NE_natural_gas_fired_combustion_turbine_2,NE_nuclear_1,NE_nuclear_2,NE_onshore_wind_turbine_1,NE_small_hydroelectric_1,NE_solar_photovoltaic_1,SE_conventional_hydroelectric_1,SE_hydroelectric_pumped_storage_1,SE_natural_gas_fired_combined_cycle_1,SE_natural_gas_fired_combined_cycle_2,SE_natural_gas_fired_combined_cycle_3,SE_natural_gas_fired_combined_cycle_4,SE_natural_gas_fired_combustion_turbine_1,SE_natural_gas_fired_combustion_turbine_2,SE_nuclear_1,SE_nuclear_2,SE_small_hydroelectric_1,SE_solar_photovoltaic_1,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccavgcf_moderate_0,SE_naturalgas_ctavgcf_moderate_0,SE_battery_moderate_0,SE_nuclear_mid_0,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,NE_naturalgas_ccccsavgcf_conservative_0,NE_naturalgas_ccavgcf_moderate_0,NE_naturalgas_ctavgcf_moderate_0,NE_battery_moderate_0,NE_nuclear_mid_0,NE_offshorewind_class10_moderate_floating_1_1,SE_utilitypv_class1_moderate_70_0_2_1,SE_utilitypv_class1_moderate_70_0_2_2,SE_utilitypv_class1_moderate_70_0_2_3,SE_utilitypv_class1_moderate_70_0_2_4,SE_utilitypv_class1_moderate_70_0_2_5,SE_utilitypv_class1_moderate_70_0_2_6,SE_utilitypv_class1_moderate_70_0_2_7,SE_utilitypv_class1_moderate_70_0_2_8,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,NE_utilitypv_class1_moderate_70_0_2_1,NE_utilitypv_class1_moderate_70_0_2_2,NE_utilitypv_class1_moderate_70_0_2_3,NE_utilitypv_class1_moderate_70_0_2_4,NE_utilitypv_class1_moderate_70_0_2_5,NE_utilitypv_class1_moderate_70_0_2_6,NE_utilitypv_class1_moderate_70_0_2_7,SE_landbasedwind_class4_moderate_70_1,SE_landbasedwind_class4_moderate_70_2,SE_landbasedwind_class4_moderate_70_3,SE_landbasedwind_class4_moderate_70_4,SE_landbasedwind_class4_moderate_70_5,SE_landbasedwind_class4_moderate_70_6,SE_landbasedwind_class4_moderate_70_7,SE_landbasedwind_class4_moderate_70_8,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7,NE_landbasedwind_class4_moderate_70_1,NE_landbasedwind_class4_moderate_70_2,NE_landbasedwind_class4_moderate_70_3,NE_landbasedwind_class4_moderate_70_4,NE_landbasedwind_class4_moderate_70_5,NE_landbasedwind_class4_moderate_70_6,NE_landbasedwind_class4_moderate_70_7
Zone,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3
AnnualSum,3.7203789387984024e6,0.0,7.772459970412915e6,1.0752212005127248e8,23394.12109679646,5.344664311330267e7,3.046018557986766e6,665131.4479060217,1.767671924646176e7,1.2881261353158008e8,1.0739397057892993e7,380153.9509578757,6.592085234013243e6,1.915588439758009e7,0.0,8.212080503081013e6,5.247653917032658e7,618.2704986966464,8043.978574290802,1.7122532239777753e6,2.5141987910863034e7,1.5583053485478666e7,1.011973737600049e7,3.457791890298156e6,2.7736556757252025e6,1.3792290777433302e7,0.0,7.475200577856691e7,9.485850215838237e6,1.1714715277630194e8,4210.0222146620745,2548.0739973992672,2620.526485050237,2.427169326940485e8,1.6205207905178579e7,337833.7338700069,1.7172706428287487e7,4795.364685188944,19207.158468775695,2896.487243918525,2.1328749527064097e9,14589.191406473827,3286.8359802614914,1.9378942726306987e8,3782.9303892839853,1.861979583933056e9,22053.197760765077,2343.4277779546733,22732.7728235065,2937.7260600572286,6.678160937532967e8,26376.12484010398,1.427362532188414e8,14702.857911159004,89899.55159716366,5745.874665612707,5.2930094813974756e8,2.8605454586856723e9,9389.284243419132,17495.101459060763,2.933344352399629e9,6.250746169470565e7,7.36438787169097e8,2.8499256577633345e8,2.5163376983854065e9,4.087361616901196e8,139241.33377411807,1.1806601578474607e9,18350.468363716507,5689.388327140759,2115.411104967649,3198.7943062513486,1.7472643799231246e9,6485.118491215059,2.2623629071615893e7,2.0247760060406595e8,4.5842596031117044e7,2.788780600981305e8,3.113097151046209e8,2.424584303460439e8,4.2278875745306176e8,2.0044123384473965e8,3.0743479118658334e8,4.587642839599976e6,6.933780859907876e7,2.8045248763039928e7,2.3028407473257834e8,18107.459681601566,2.6184635957223555e8,1.0956433060269825e8,1.907856041924068e7,3.4293408953168824e7,1.9715064155294156e8,4.737387439761443e7,7467.059817336154,3.5009040013997382e6,3.0880283110789843e7
Capacity,2806.182,5244.0,4026.3953008156473,31802.91725738568,33.8239809541592,20288.493749674388,4749.723560487431,704.6832514387411,2439.9975809807083,17770.206524354195,3231.5979188533947,263.268,2974.593487556597,4729.48,3206.9,6119.59609105311,21225.10982005041,4.387710096813722,9.786947004515014,2341.1665437916545,3395.698669870438,2104.697859110227,3654.4973738250733,834.494,1629.5913710694122,11123.215,6261.984,26218.698032212087,4637.473512454932,42679.311207310915,6.713853187392488,8.73361522623236,4.470938154467717,33632.28581495881,2227.998160900505,249.895,8502.190106105625,1.2591543553764089,5.84398567768713,1.3610052896016345,805139.5861437095,2.2695506979968187,1.0117447516927063,45632.622636162545,1.6933798969797167,677832.6958638888,3.3415130125392842,0.7994089024973139,5.630215673216149,1.3232467636127228,282748.5703743838,3.719020000615559,32928.471088124556,8.162164694761586,47.05611408551711,3.595655295127207,209438.25276080228,955444.5146886468,5.415928334500286,9.493506414053249,989512.425735014,26782.949720913275,288616.81602119276,115698.92902249483,996250.0036505535,188848.27964137134,71.49757518785431,484806.36014234193,10.679005314476864,3.4615289005333323,1.870201756949468,2.3534714411322986,787811.6078473969,3.7030436424121795,13474.827175035225,84057.9762844123,20181.988509215353,105300.98594399501,95535.98495768779,79806.99033078038,117167.99443199762,66200.99133388393,102848.98290953487,1383.9972215564808,25175.993012090297,10378.992653987378,94296.96942844396,9.525803921663332,86256.9936924443,42062.991159271114,6840.994057432229,10959.993911559131,65323.992608770845,17701.99041001757,4.170155112308688,1110.9963526162016,13216.984126402778
CapacityFactor,0.15134470682951964,0.0,0.22036264539907782,0.3859461859548346,0.07895468521756925,0.3007229143055494,0.07320826339483334,0.10774805179892519,0.8270050514261207,0.8274882021064014,0.3793660594655941,0.16483799680952424,0.2529828524748913,0.46236474078425255,0.0,0.15318855987806498,0.2822351713991712,0.01608557140167073,0.09382521371596408,0.08348944560114596,0.8452133782153172,0.8451984575777068,0.31610945185459305,0.47301131180357237,0.1942986234854805,0.14154742289124322,0.0,0.3254674958498366,0.23350205899223228,0.3133359528868362,0.07158276027374945,0.033305340293295245,0.06690919191648154,0.8238337578492178,0.8303012141935727,0.15432679619047648,0.23057054601655375,0.4347489707006045,0.3751888042933147,0.2429448520766616,0.0,0.7338160854605139,0.37085399865934104,0.48478652901843716,0.25501741777491865,0.0,0.753397733124904,0.0,0.4609175813914904,0.25343485840488833,0.0,0.8096146712748659,0.4948329604977458,0.20563275798932493,0.21809080689146365,0.1824206470430583,0.2884978358435929,0.3417742006133172,0.19790440985327964,0.21037092236537935,0.3384057163143778,0.2664215503644979,0.29128016814341035,0.2811901388762856,0.2883344149195108,0.24707336109694775,0.2223170420046554,0.2780049271472643,0.1961608092642657,0.18762621141961425,0.12912258533491278,0.15515767941700911,0.2531816009233644,0.19991941806150063,0.19166153486468698,0.2749754677567986,0.259299179588938,0.3023276059855981,0.3719817064356702,0.34681050986663203,0.41191758057180594,0.3456356004288029,0.3412313355439283,0.3783992571266221,0.31439772605718425,0.308460803721852,0.27878028895664553,0.2169960272631594,0.3465358072187043,0.2973479377333912,0.31836277561322573,0.3571874896226158,0.3445254966882184,0.30550104277243717,0.2044058472120228,0.35971907068925685,0.2667133772819239
